"","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm"
"109",178.404586752137,0.0553,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",174.095898969331,0.0609,"SPOT",1,6,8,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"110",179.587163820419,0.0583,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",177.208949673202,0.1038,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"111",178.586612041227,0.0945,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.256905404726,0.0507,"SPOT",1,6,8,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"112",176.671301537153,0.0828,"SPOT",1,6,10,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.638257290095,0.0415,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"113",177.184197262662,0.06,"SPOT",1,6,9,0,0.25,2,"Montage_1000.xml|","EVOLUTION",177.548836525892,0.0473,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"114",179.593161734165,0.056,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",177.392655103067,0.1197,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"121",174.629906711915,0.0391,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",179.312112794624,0.1138,"SPOT",1,6,9,0,0.3,3,"Montage_1000.xml|","EVOLUTION"
"122",174.63826025641,0.0368,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.63826025641,0.0368,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"123",173.773643363499,0.0365,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.358849899447,0.0569,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"124",178.280141578683,0.1025,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.744767144294,0.0542,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"125",174.63826025641,0.0369,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",176.78386914263,0.0443,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"126",173.682927928607,0.0366,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",176.919641802315,0.1078,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"133",178.472629110105,0.0495,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",176.130753761461,0.0464,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"134",179.523452237305,0.0429,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",177.731623378582,0.1014,"SPOT",1,6,9,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"135",182.40811922325,0.1158,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",178.843910005028,0.0446,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"136",175.891536902966,0.061,"SPOT",1,6,7,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.090800125691,0.0629,"SPOT",1,6,9,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"137",178.968273805933,0.074,"SPOT",1,6,8,0,0.25,0,"Montage_1000.xml|","EVOLUTION",172.635733785822,0.0365,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"138",174.63826025641,0.0368,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.017738914027,0.0368,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"145",172.635733785822,0.0362,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.02928107089,0.1,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"146",176.679674208145,0.0462,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",173.682927928607,0.0369,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"147",177.678809904475,0.0393,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",173.907848340875,0.0368,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"148",180.702357478325,0.1084,"SPOT",1,6,10,0,0.25,2,"Montage_1000.xml|","EVOLUTION",172.635733785822,0.0363,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"149",174.090574886878,0.0442,"SPOT",1,6,7,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.090822750126,0.048,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"150",179.581538637506,0.0467,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",181.841441101056,0.0987,"SPOT",1,6,9,0,0.3,3,"Montage_1000.xml|","EVOLUTION"
"157",174.090238486677,0.0369,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",176.07506850176,0.0513,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"158",178.802869911792,0.0663,"SPOT",1,6,9,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.564854499749,0.0442,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"159",174.63826025641,0.037,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",173.682927928607,0.0366,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"160",173.640698441428,0.0367,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",173.640698441428,0.0366,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
